Date,Score,Errors,Letters Left
12/07/2020,23961,59,0
12/07/2020,23822,118,0
12/10/2020,23557,43,0
12/10/2020,23749,51,0
12/10/2020,25384,416,0
12/10/2020,25808,392,0
12/11/2020,23341,49,0
12/11/2020,19,120,72
12/11/2020,23539,71,0
12/11/2020,17957,48,3
12/11/2020,23976,74,0
12/11/2020,23991,59,0
12/11/2020,23872,78,0
12/11/2020,23887,63,0
12/11/2020,23974,66,0
12/11/2020,19729,76,2
12/11/2020,24174,76,0
12/11/2020,21685,96,1
12/11/2020,16308,72,4
12/11/2020,21694,86,1
12/15/2020,23558,42,0
12/15/2020,23765,35,0
12/15/2020,23852,58,0
12/16/2020,23759,41,0
12/16/2020,23510,100,0
12/16/2020,23637,73,0
12/16/2020,13265,116,6
12/18/2020,0,101,86
12/18/2020,23869,51,0
